source_id;urn_cts;is_primary_text;has_pdf;anchor_external;pdf_path;digital_source;author;language;has_translation;pages;title;publisher;publication_place;source_book;notes;source_type;year;doi;discipline;txt_path
Gibson1982_Nippur;;No;True;;;oi.uchicago.edu;Gibson M.;;No;23 -25;Nippur;;;;;Archaeological Report;1982;;;
Gibson1985_BackToTabl;;No;True;;;oi.uchicago.edu;Gibson M.;;No;20-30;Back To Tablet Hill: Sixteenth Season At Nippur;;;;;Archaeological Report;1985;;;
Gibson1986_Nippur;;No;True;;;oi.uchicago.edu;Gibson M.;;No;16 - 22;Nippur;;;;;Archaeological Report;1986;;;
Gibson1987_Nippur;;No;True;;;oi.uchicago.edu;Gibson M.;;No;18-29;Nippur;;;;;Archaeological Report;1987;;;
Gibson1988_Nippur;;No;True;;;oi.uchicago.edu;Gibson M.;;No;18-26;Nippur;;;;;Archaeological Report;1988;;;
Gibson1989_Nippur;;No;True;;;oi.uchicago.edu;Gibson M.;;No;9-17;Nippur;;;;;Archaeological Report;1989;;;
Gibson1990_Nippur1990;;No;True;;;oi.uchicago.edu;Gibson M.;;No;17-26;Nippur, 1990: The Temple Of Gula And Glimpse Of Thing To Come;;;;;Archaeological Report;1990;;;
Gibson1991_Nippur;;No;True;;;oi.uchicago.edu;Gibson M.;;No;36-38;Nippur;;;;;Archaeological Report;1991;;;
Gibson2003_Nippur;;No;True;;;oi.uchicago.edu;Gibson M.;;No;76-78;Nippur;;;;;Archaeological Report;2003;;;
Gibson2004_NippurAndU;;No;True;;;oi.uchicago.edu/oi/AR/03-04/03-04_AR_TOC.html;Gibson M.;;No;116-120;Nippur And Umm Al Hafriyat;;;;;Archaeological Report;2004;;;
Gibson2008_Nippur;;No;True;;;oi.uchicago.edu;Gibson M.;;No;96-97;Nippur;;;;;Archaeological Report;2005;;;
Gibson2005_NippurAndA;;No;True;;;oi.uchicago.edu/oi/AR/04-05/04-05_AR_TOC.html;Gibson M.;;No;83-85;Nippur And Archaeology In Iraq;;;;;Archaeological Report;2005;;;
Gibson2009_Nippur;;No;True;;;oi.uchicago.edu;Gibson M.;;No;101 -103;Nippur;;;;;Archaeological Report;2009;;;
Gibson2011_Nippur;;No;True;;;oi.uchicago.edu;Gibson M.;;No;97-101;Nippur;;;;;Archaeological Report;2011;;;
Gibson2013_Nippur;;No;True;;;http://oi.uchicago.edu;Gibson M.;;No;85 - 89;Nippur;;;;;Archaeological Report, Tablet Translation, Article, Article in Book, Book;2013;;;
