source_id;author;title;year;source_type;source_book;publication_place;publisher;pages;language;discipline;urn_cts;is_primary_text;has_translation;digital_source;notes;doi;pdf_path;has_pdf;txt_path
Fincke2004_TheBabylon;Fincke J.C.;"The Babylonian Texts Of Nineveh: Report On The British Museum's ""ashurbanipal";2004;Article in Book;Archiv für Orientforschung, 2003/2004, Bd. 50 (2003/2004);;Archiv für Orientforschung (AfO)/Institut für Orientalistik;pp. 111-149;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Fincke2004_TheBabylon.txt
Fincke2012_TheSchoolC;Fincke J.C.;The School Curricula From Hattuša, Emar And Ugarit: A Comparison;2012;Article, Article in Book: STUDIES IN SCHOOL EDUCATION IN THE ANCIENT NEAR EAST AND BEYOND, edited by W.S. VAN EGMOND and W.H. VAN SOLDT;;;;85 - 102;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Fincke2012_TheSchoolC.txt
Foster2003_LateBabylo;Foster B.;Late Babylonian Schooldays: An Archaizing Cylinder;2003;Article in Book;;;;79-87;;;;No;No;;;;;True;
Foster2005_Transmissi;Foster B.R.;Transmission Of Knowledge;2005;Article in Book;Companion To the Ancient Near East, Daniel, C, Snell;;Blackwell Publishing;246-255;;;;No;No;;;;;True;
Frame2005_TheRoyalLi;Frame A.G.A.G.;The Royal Libraries Of Nineveh: New Evidence For King Ashurbanipal's Tablet Collecting;2005;Article in Book;Iraq, Spring, 2005, Vol. 67, No. 1, Nineveh. Papers of the 49th Rencontre Assyriologique Internationale, Part Two (Spring, 2005);;;pp. 265-284;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Frame2005_TheRoyalLi.txt
Gadd1956_TeachersAn;Gadd C.;Teachers And Students In The Oldest Schools;1956;Article in Book;;;Un vol. in-8° de 45 pages. Londres, School of Oriental and African Studies,;1260127(Tome 35);;;;No;No;https://www.persee.fr/doc/syria_0039-7946_1958_num_35_1_5285_t1_0126_0000_3;;;;True;
Gadotti2017_TheRulesOf;Gadotti A.;The Rules Of The School;2017;Article in Book;Journal of the American Oriental Society, Vol. 137, No. 1;;American Oriental Society;pp. 89-116;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Gadotti2017_TheRulesOf.txt
Garcia0000_Transmissi;García J.Á.;Transmission And Reception Of Babylonian Knowledge In Ugaritnown. A Preliminary Study;Unknown;Monograph;;;;325-335;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Garcia0000_Transmissi.txt
George0000_InSearchOf;George A.R.;In Search Of The É.dub.ba.a: The Ancient Mesopotamian School;Unknown;Article;;;;1-9;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/George0000_InSearchOf.txt
George2005_PerAsperaA;George A.R.;Per Aspera Ad Astra. L'apprentissage Du Cunéiforme À Sippar Amnānum Pendant La Période Paléobabylonienne Tardive By Michel Tanret;2005;Article in Book;Bulletin of the School of Oriental and African Studies,;;;pp. 305-307 Vol. 68,;;;;No;No;;;;;True;
George2008_Approaches;George A.R.;Approaches To Sumerian Literature. Studies In Honour Of Stip (h. L. J.vanstiphout) By Piotr Michalowski And Niek Veldhuis;2008;Article in Book;Bulletin of the School of Oriental and African Studies, University of London, Vol.71, No. 1;;Cambridge University Press on behalf of School of Oriental and African;pp. 168-169;;;;No;No;;;;;True;
Gibson0000_Nippur;Gibson M.;Nippur;;Archaeological Report;;;;116-122;;;;No;No;oi.uchicago.edu;;;;True;
Gibson0000_NippurAndI;Gibson M.;Nippur And Iraq At A Time Of War;2002-2003;Archaeological Report, Tablet Translation, Article, Article in Book, Book;;;;;;;;No;No;http://oi.uchicago.edu/OI/AR/02-03/02-03_AR_TOC.html;;;;True;
Gibson0000_NippurUnde;Gibson M.;Nippur Under Assyrian Domination: 15th Season Of Excavation, 1981 82.;1981-82;Archaeological Report;;;;40-48;;;;No;No;oi.uchicago.edu;;;;True;
Gibson0000_TheNippurE;Gibson M.;The Nippur Expedition;Unknown;Archaeological Report;;;;22-30;;;;No;No;oi.uchicago.edu;;;;True;
Gibson1961_Nippur;Gibson M.;Nippur;1961;Archaeological Report;;;;80-82;;;;No;No;oi.uchicago.edu;;;;True;
Gibson1973_Excavation;Gibson M.;Excavations At Nippur;1973;Archaeological Report;;;;29-38;;;;No;No;oi.uchicago.edu;;;;True;
Gibson1974_TheNippurE;Gibson M.;The Nippur Expedition;1974;Archaeological Report;;;;27-29;;;;No;No;oi.uchicago.edu;;;;True;
Gibson1976_TheNippurE;Gibson M.;The Nippur Expedition;1976;Archaeological Relies;;;;;;;;No;No;oi.uchicago.edu;;;;True;
Gibson1977_NippurRegi;Gibson M.;Nippur Regional Project: Umm Al Hafriyat;1977;Archaeological Report;;;;20-26;;;;No;No;oi.uchicago.edu;;;;True;
Gibson1980_NippurHamr;Gibson M.;Nippur, Hamrin, And Related Activities;1980;Archaeological Report;;;;27-30;;;;No;No;oi.uchicago.edu;;;;True;
Gibson1982_Nippur;Gibson M.;Nippur;1982;Archaeological Report;;;;23 -25;;;;No;No;oi.uchicago.edu;;;;True;
Gibson1985_BackToTabl;Gibson M.;Back To Tablet Hill: Sixteenth Season At Nippur;1985;Archaeological Report;;;;20-30;;;;No;No;oi.uchicago.edu;;;;True;
Gibson1986_Nippur;Gibson M.;Nippur;1986;Archaeological Report;;;;16 - 22;;;;No;No;oi.uchicago.edu;;;;True;
Gibson1987_Nippur;Gibson M.;Nippur;1987;Archaeological Report;;;;18-29;;;;No;No;oi.uchicago.edu;;;;True;
Gibson1988_Nippur;Gibson M.;Nippur;1988;Archaeological Report;;;;18-26;;;;No;No;oi.uchicago.edu;;;;True;
Gibson1989_Nippur;Gibson M.;Nippur;1989;Archaeological Report;;;;9-17;;;;No;No;oi.uchicago.edu;;;;True;
Gibson1990_Nippur1990;Gibson M.;Nippur, 1990: The Temple Of Gula And Glimpse Of Thing To Come;1990;Archaeological Report;;;;17-26;;;;No;No;oi.uchicago.edu;;;;True;
Gibson1991_Nippur;Gibson M.;Nippur;1991;Archaeological Report;;;;36-38;;;;No;No;oi.uchicago.edu;;;;True;
Gibson2003_Nippur;Gibson M.;Nippur;2003;Archaeological Report;;;;76-78;;;;No;No;oi.uchicago.edu;;;;True;
Gibson2004_NippurAndU;Gibson M.;Nippur And Umm Al Hafriyat;2004;Archaeological Report;;;;116-120;;;;No;No;oi.uchicago.edu/oi/AR/03-04/03-04_AR_TOC.html;;;;True;
Gibson2008_Nippur;Gibson M.;Nippur;2005;Archaeological Report;;;;96-97;;;;No;No;oi.uchicago.edu;;;;True;
Gibson2005_NippurAndA;Gibson M.;Nippur And Archaeology In Iraq;2005;Archaeological Report;;;;83-85;;;;No;No;oi.uchicago.edu/oi/AR/04-05/04-05_AR_TOC.html;;;;True;
Gibson2009_Nippur;Gibson M.;Nippur;2009;Archaeological Report;;;;101 -103;;;;No;No;oi.uchicago.edu;;;;True;
Gibson2011_Nippur;Gibson M.;Nippur;2011;Archaeological Report;;;;97-101;;;;No;No;oi.uchicago.edu;;;;True;
Gibson2013_Nippur;Gibson M.;Nippur;2013;Archaeological Report, Tablet Translation, Article, Article in Book, Book;;;;85 - 89;;;;No;No;http://oi.uchicago.edu;;;;True;
Gibson2014_NippurAndB;Gibson M.;Nippur And Beyond;2014;Archaeological Report;;;;107-109;;;;No;No;oi.uchicago.edu;;;;True;
Gibson2015_Nippur;Gibson M.;Nippur;2015;Archaeological Report, Tablet Translation, Article, Article in Book, Book;;;;122-124;;;;No;No;oi.uchicago.edu;;;;True;
Gilibert2021_UrbanSquar;Gilibert A.;Urban Squares In Late Bronze Age Ugarit:a Street View On Ancient Near Eastern Governance;2021;Article in Book;Journal of Near Eastern Studies, volume 80, number 2,;;The University of Chicago Press.;377-415;;;;No;No;https://doi.org/10.1086/716076;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Gilibert2021_UrbanSquar.txt
Haines0000_Sumerianst;Haines R.C.;The Nippur Expedition;Unknown;Archaeological Report;;;;8-10;;;;No;No;oi.uchicago.edu;;;;True;
Haines1945_TheNippurE;Haines R.;The Nippur Expedition;1945;Archaeological Report;;;;;;;;No;No;oi.uchicago.edu;;;;True;
Haines1961_TheNippurE;Haines R.;The Nippur Expedition;1961;Archaeological Report;;;;4-6;;;;No;No;oi.uchicago.edu;;;;True;
Haines1963_TheNippurE;Haines R.C.;The Nippur Expedition;1963;Archaeological Report, Tablet Translation, Article, Article in Book, Book;;;;19-20;;;;No;No;oi.uchicago.edu;;;;True;
Harper1892_AssyrianAn;Harper R.F.;Assyrian And Babylonian Letters Belonging To The K. Collection Of The British Museum;1892;book:;;;THE UNIVERSITY OF CHICAGO PRESS;;;;;No;No;;;;;True;
Hasselbach-Andee2020_Multilingu;Hasselbach‐Andee R.;Multilingualism And Diglossia In The Ancient Near East;2020;Article in Book;A Companion to Ancient Near Eastern Languages, First Edition.;;;457-470 (ch24);;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Hasselbach-Andee2020_Multilingu.txt
Hawley2005_OnTheAlpha;Hawley R.;On The Alphabetic Scribal Curriculum At Ugarit;2005;Article in Book;51e Rencontre Assyriologique Internationale;;;57-57;;;;No;No;https://shs.hal.science/halshs-00437137;;;;True;
Hilprecht2004_ModelTexts;Hilprecht N.V.A.H.;Model Texts And Exercises From The Temple School Of Nippur: Be 19;2004;Article in Book;;;;28-49;;;;No;No;;;;;True;
Hoffner2009_HittiteStu;Hoffner H.A.;Hittite Studies In Honor (bibliography);2009;Article in Book;Journal of Near Eastern Studies, No. 3 (July 2009);;;213-215, Vol. 68;;;;No;No;http://www.jstor.org/stable/10.1086/613997 .;;;;True;
Hruska2002_ThePowerAn;Hruška B.;The Power And The Writing. The Early Scribes Of Mesopotamia Bygiuseppe Visicato;2002;Article in Book;Wiener Zeitschrift für die Kunde des Morgenlandes;;;pp. 231-234;;;;No;No;;;;;True;
Hurowitz0000_LiteraryOb;Hurowitz V.;Literary Observations On “in;Unknown;Article;;;;49-57;;;;No;No;;;;;True;
Jacquet0000_FamilyArch;Jacquet A.;Family Archives In Mesopotamia During The Old Babylonian Period;Unknown;Article in Book;;;;63-86;;;;No;No;;;;;True;
Klein1996_LanguageAc;Klein W;Language Acquisition At Different Ages;1996;Article in Book;Individual Development over the Lifespan: Biological and Psychosocial Perspectives, D. Magnusson (Ed.);;;88-108;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Klein1996_LanguageAc.txt
Knudstad0000_Excavation;Knudstad J.E.;Excavation At Nippur;Unknown;Archaeological Report;;;;6-8;;;;No;No;oi.uchicago.edu;;;;True;
Knudstad1890_TheNippurE;Knudstad J.;The Nippur Expedition;1890;Archaeological Report;;;;26-27;;;;No;No;oi.uchicago.edu;;;;True;
Knudstad1966_TheNippurE;Knudstad J.;The Nippur Expedition;1966;Archaeological Report;;;;7-11;;;;No;No;oi.uchicago.edu;;;;True;
Kramer1949_Schooldays;Kramer S.N.;Schooldays: A Sumerian Composition Relating To The Education Of A Scribe;1949;Article in Book;Journal of the American Oriental Society, Oct. - Dec., 1949, Vol. 69, No. 4;;;pp. 199-215;;;;No;No;;;;;True;
Kramer1977_TheUrExcav;Kramer S.N.;The Ur Excavations And Sumerian Literature;1977;Article in Book;;;;41-47;;;;No;No;;;;;True;
Kraus0000_ScribalEdu;Kraus N.L.;Scribal Education In The Sargonic Period;;Article in Book;;;;1;;;;No;No;;;;;True;
Lambert1962_ACatalogue;Lambert W.;A Catalogue Of Texts And Authors;1962;Article in Book;;;;59-77 (vol 16);;;;No;No;https://www.jstor.org/stable/1359154;;;;True;
Lucas1979_TheScribal;Lucas;The Scribal Tablet House In Ancient Mesopotamia;1979;Article in Book;History of Education Quarterly, Autumn, 1979, Vol. 19, No. 3;;;pp. 305-332;;;;No;No;;;;;True;
Macginnis2002_TheUseOfWr;Macginnis J.;The Use Of Writing Boards In The Neo Babylonian Temple Administration At Sippar;2002;Article in Book;Iraq, Vol. 64 (2002);;British Institute for the Study of Iraq;pp. 217-236;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Macginnis2002_TheUseOfWr.txt
Martin1983_Settlement;Martin H.P.;Settlement Patterns At Shuruppak;1983;Article in Book;Papers of the 29 Rencontre Assyriologique Internationale, London;;British Institute for the Study of Iraq;pp. 24-31 Vol. 45;;;;No;No;;;;;True;
Matthews1991_FragmentsO;Matthews R.J.;Fragments Of Officialdom From Fara;1991;Article in Book;;;British Institute for the Study of Iraq;1-15;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Matthews1991_FragmentsO.txt
Meyer1982_TellEdDerI;Meyer L.D.;Tell Ed Dèr Ii. Progress Reports (first Series);1982;Article in Book;Orientalia, 1982, NOVA SERIES, Vol. 51, No. 1;;GB Press- Gregorian Biblical Press;pp. 148-155;;;;No;No;;;;;True;
Michalowski2012_LiteracySc;Michalowski P.;Literacy, Schooling And The Transmission Of Knowledge In Early Mesopotamian Culture;2012;Article in Book;STUDIES IN SCHOOL EDUCATION IN THE ANCIENT NEAR EAST AND BEYOND, edited by W.S. VAN EGMOND and W.H. VAN SOLDT;;NEDERLANDS INSTITUUT VOOR HET NABIJE OOSTEN, LEIDEN;39-59;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Michalowski2012_LiteracySc.txt
Michalowski2013_FromTheCol;Michalowski P.;From The Collections Of An Old Babylonian Literary Connoisseur;2013;Article in Book;Revue d'Assyriologie et d'archéologie orientale ,;;Presses Universitaires de France;Vol. 107, 15-22;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Michalowski2013_FromTheCol.txt
Michel2018_Constituti;Michel C.;Constitution, Contents, Filing And Use Of Private Archives: The Case Of Old Assyrian Archives (nineteenth Century Bce);2018;Article in Book;De Gruyter, Studies in Manuscript Cultures, 9783110541397-004.10.1515/9783110541397.halshs-01967549;;;pp.43-70;;;;No;No;https://www.degruyterbrill.com/document/doi/10.1515/9783110541397-004/html;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Michel2018_Constituti.txt
Mieroop1986_NippurText;Mieroop M.V.D.;Nippur Texts From The Early Isin Period;1986;Article in Book;JANES 18 (1986);;;31-52;;;;No;No;;;;;True;
Pearce1995_TheScribes;Pearce L.E.;The Scribes And Scholars Of Ancient Mesopotamia;1995;Article in Book;Civilizations of the Ancient Near East,JACK M. SASSON;;;2265-2278;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Pearce1995_TheScribes.txt
Peters1903_ReviewTheE;Peters J.P.;Review: The Excavation Of Nippur;1903;Article in Book;Explorations in Bible Lands during the Nineteenth Century by H. V.Hilprecht, Dr. Benzinger, Dr. Hommel, Dr. Jensen and Dr. Steindorff;;The University of Chicago Press;Vol. 7, No. 4 (Oct., 1903), pp. 712-730;;;;No;No;;;;;True;
Peters1905_TheNippurL;Peters J.P.;The Nippur Library;1905;Article in Book;Journal of the American Oriental Society;;;145 -164;;;;No;No;;;;;True;
Pickworth2005_Excavation;Pickworth D.;Excavations At Nineveh: The Halzi Gate;2005;Article in Book;Nineveh. Papers of the 49th Rencontre Assyriologique Internationale, Part Two;;British Institute for the Study of Iraq;pp. 295-316;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Pickworth2005_Excavation.txt
Reade2017_TheManufac;Reade J.E.;The Manufacture, Evaluation And Conservation Of Clay Tablets Inscribed In Cuneiform: Traditional Problems And Solutions;2017;Article in Book;IRAQ(2017)79163–202;;Cambridge University Press;163-103;;;;No;No;Doi:10.1017/irq.2016.10;;;;True;
Reckling0000_TheArchaeo;Reckling L.;The Archaeology Of Tell Ras Shamra;Unknown;Article;;;;1-7;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Reckling0000_TheArchaeo.txt
Rhaines1956_LoTheAncie;Rhaines;Lo, The Ancient Sumerians The Nippur Expedition;1956;Archaeological Report;;;;1;;;;No;No;oi.uchicago.edu;;;;True;
Robson0000_Fromashurb;Robson E.;From ‘ashurbanipal’s Library’ And The ‘stream Of Tradition’ To New Approaches To Cuneiform Scholarship;Unknown;Article in Book;Ancient Knowledge Networks- A Social Geography of Cuneiform Scholarship in First-Millennium;;;10-48;;;;No;No;;;;;True;
Robson2000_Mathematic;Robson E.;Mathematical Cuneiform Tablets In Philadelphia;2000;Article in Book;SCIAMVS 1 (2000);;;11-48;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Robson2000_Mathematic.txt
Robson2001_TheTabletH;Eleanor Robson;The Tablet House A Scribal School In Old Babylonian Nippur;2001;article in book;;Paris;Presses Universitaires de France (PUF);39-66;en;assyriology;Null;No;No;https://shs.cairn.info/revue-d-assyriologie-2001-1-page-39;Null;10.3917/assy.093.0039;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Robson2001_TheTabletH.txt
Robson2008_Mathematic;Robson E.;Mathematics In Ancient Iraq;2008;Article in Book;;;;1-26;;;;No;No;;;;;True;
Robson2011_EmpiricalS;Robson E.;Empirical Scholarship In The Neo Assyrian Court;2011;Article in Book;The Empirical Dimension of Ancient Near Eastern Studies, Gebhard Selz;;;;;;;No;No;http//dnb.d-nb.de;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Robson2011_EmpiricalS.txt
Robson2012_TheProduct;Eleanor Robson;The Production And Dissemination of Scholarly Knowledge;2012;article in book;;Oxford;Oxford Handbook;;en;archaeology;Null;No;No;https://academic.oup.com/edited-volume/27992/chapter-abstract/211708565;Null;10.1093/oxfordhb/9780199557301.013.0026;;True;
Samet2023_Instructio;Samet N.;Instruction Of Shuruppak: The World's Oldest Instruction Collection;2023;Article in Book;HUMAN INTERACTION WITH THE NATURAL WORLD IN WISDOM LITERATURE AND BEYOND;;;216-237;;;;No;No;;;;;True;
Soldt0000_Babylonian;Soldt W.V.;Babylonian Lexical, Religious And Literary Texts And Scribal Education At Ugarit And Its Implications For The Alphabetic Literary Text;;Article in Book;;;;171-192;;;;No;No;;;;;True;
Ston2001_SurveyAndS;Ston E.;Survey And Soundings In The Outer Town Of A Y Ayanis 1996 1998;2001;Article in Book;AYANIS I: Ten Years' Excavations at Rusahinili Eiduru-kai;;;355-377;;;;No;No;;;;;True;
Tanret2004_TheWorksAn;Tanret M.;The Works And The Days... On Scribal Activity In Old Babylonian Sippar Amnānum;2004;Article in Book;Revue d'Assyriologie et d'archéologie orientale, 2004, Vol. 98;;Presses Universitaires de France;pp. 33-62;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Tanret2004_TheWorksAn.txt
Tanret2012_LearnedRic;Tanret M.;Learned, Rich, Famous, And Unhappy: Ur Utu Of Sippar;2012;Article in Book;OUP UNCORRECTED PROOF – FIRST-PROOF, 02/17/11, SPi;;;270-281;;;;No;No;www.researchgate.net/publication/297235478 DOI: 10.1093/oxfordhb/9780199557301.013.0013;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Tanret2012_LearnedRic.txt
Tinney1998_ScribalEdu;Tinney S.;Scribal Education In Nippur And Ur;1998;Article in Book;ExpreEpDITION Volume 40, No. 2 (1998);;;40-50;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Tinney1998_ScribalEdu.txt
Tsouparopoulou0000_HiddenMess;Tsouparopoulou C.;Hidden Messages Under The Temple: Foundation Deposits And The Restricted Presence Of Writing In 3rd Millennium Bce Mesopotamia*;;Article in Book;;;;17-31;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Tsouparopoulou0000_HiddenMess.txt
Haines0000_TheNippurE;;The Nippur Expedition;Unknown;Archaeological Report;;;;12-14;;;;No;No;oi.uchicago.edu;;;;True;
Unknown0000_UrUtusStor;Unknown;Ur Utu's Story:the Mesopotamian Family And Laws;Unknown;Article in Book;;;;;;;;No;No;;;;;True;
Gibson2006_NippurAndU;;Nippur And Umm Al Hafriyat;2006;Archaeological Report;;;;86-88;;;;No;No;oi.uchicago.edu;;;;True;
Ur2017_TheTopogra;Ur J.;The Topography Of Nineveh;2017;Article in Book;NINEVEH THE GREAT CITY Symbol of Beauty and Power;;Papers on Archaeology of the Leiden Museum of Antiquities 13, Leiden (Sidestone Press). SIDESTONE PRESS;68-73;;;;No;No;;;;;True;
Vanstiphout1978_LipitEstar;Vanstiphout H.;Lipit Eštar's Praise In The Edubba;1978;Article in Book;Journal of Cuneiform Studies;;The University of Chicago Press on behalf of The American Schools of;33-61;;;;No;No;;;;;True;
Vanstiphout1979_HowDidThey;Vanstiphout H.;How Did They Learn Sumerian?;1979;Article in Book;Journal of Cuneiform Studies, Apr., 1979, Vol. 31, No. 2;;The University of Chicago Press on behalf of The American Schools of Oriental Research;pp. 118-126;;;;No;No;;;;;True;
Veldhuis1996_TheCuneifo;Veldhuis N.;The Cuneiform Tablet As An Educational Tool!;1996;Article in Book;;;;11-26 VOL. 2;;;;No;No;;;;;True;
Veldhuis1996_TheUgaritL;Veldhuis N.;The Ugarit Lexical Text Rs 13.53;1996;Article in Book;Source: Die Welt des Orients, 1996, Bd. 27 (1996);;Vandenhoeck & Ruprecht (GmbH & Co. KG);pp. 25-29;;;;No;No;;;;;True;
Veldhuis1997_UrukAltbab;Veldhuis N.;Uruk. Altbabylonische Texte Aus Dem Planquadrat Pe Xvi 4/5 By Antoine Cavigneaux, Adam Falkenstein And Rainer Michael Boehmer;1997;Article in Book;Archiv für Orientforschung, 1997/1998, Bd. 44/45;;Archiv für Orientforschung (AfO)/Institut für Orientalistik;pp. 360-363;;;;No;No;;;;;True;
Veldhuis1999_ReadingThe;Veldhuis N.;Reading The Signs;1999;Article in Book;;;;161-174;;;;No;No;;;;;True;
